KOD;NAZEV;OBEC_KOD;PLATI_OD;PLATI_DO;DATUM_VZNIKU
600016;Abertamy;554979;01.07.2011 00:00:00;;
600041;Adamov;581291;01.07.2011 00:00:00;;
663409;Adamov u Karlovic;597481;01.07.2011 00:00:00;;
771473;Adamov u Tupadel;531367;01.07.2011 00:00:00;;
600032;Adamov u Českých Budějovic;535826;01.07.2011 00:00:00;;
601756;Adolfovice;523917;01.07.2011 00:00:00;;
691003;Ahníkov;563200;01.07.2011 00:00:00;;
702919;Alberovice;530093;01.07.2011 00:00:00;;
600075;Albeř;546798;01.07.2011 00:00:00;;
917923;Albeřice u Hradiště;555711;01.01.2016 00:00:00;;
600083;Albrechtice;551015;01.07.2011 00:00:00;;
600172;Albrechtice nad Orlicí;576077;01.07.2011 00:00:00;;
600229;Albrechtice nad Vltavou;549258;01.07.2011 00:00:00;;
625981;Albrechtice u Frýdlantu;564028;01.07.2011 00:00:00;;
600113;Albrechtice u Lanškrouna;547981;01.07.2011 00:00:00;;
600091;Albrechtice u Mostu;567175;01.07.2011 00:00:00;;
742406;Albrechtice u Rozsoch;596647;01.07.2011 00:00:00;;
614980;Albrechtice u Rýmařova;597228;01.07.2011 00:00:00;;
759694;Albrechtice u Sušice;557153;01.07.2011 00:00:00;;
600121;Albrechtice u Českého Těšína;598925;01.07.2011 00:00:00;;
600288;Albrechtice v Jizerských horách;563528;01.07.2011 00:00:00;;
600300;Albrechtičky;568741;01.07.2011 00:00:00;;
789101;Albrechtovice;550680;01.07.2011 00:00:00;;
655821;Alexovice;583120;01.07.2011 00:00:00;;
774707;Alojzov u Prostějova;506761;01.07.2011 00:00:00;;
719072;Alšovice;563749;01.07.2011 00:00:00;;
796077;Alžbětín;557528;01.07.2011 00:00:00;;
600326;Andělka;564494;01.07.2011 00:00:00;;
600369;Andělská Hora;538001;01.07.2011 00:00:00;;
653811;Andělská Hora u Chrastavy;564117;01.07.2011 00:00:00;;
760412;Andělská Hora ve Slezsku;551929;01.07.2011 00:00:00;;
600377;Anenská Studánka;573426;01.07.2011 00:00:00;;
661511;Antonínov;563633;01.07.2011 00:00:00;;
757900;Antonínův Důl;586846;01.07.2011 00:00:00;;
600393;Antošovice;554821;01.07.2011 00:00:00;;
600407;Archlebov;586030;01.07.2011 00:00:00;;
600415;Arneštovice;509388;01.07.2011 00:00:00;;
715816;Arnoldov;555428;01.07.2011 00:00:00;;
600423;Arnolec;586854;01.07.2011 00:00:00;;
600431;Arnoltice;562343;01.07.2011 00:00:00;;
616176;Arnoltice u Bulovky;563935;01.07.2011 00:00:00;;
650099;Arnoltice u Huzové;597414;01.07.2011 00:00:00;;
670421;Arnoltov;560294;01.07.2011 00:00:00;;
665525;Arnoštka;550647;01.07.2011 00:00:00;;
991694;Arnoštov u Českého Krumlova;545422;01.07.2011 00:00:00;;
600466;Arnoštovice;529702;01.07.2011 00:00:00;;
743381;Arnultovice;579645;01.07.2011 00:00:00;;
660329;Arnultovice u Jindřichova;597449;01.07.2011 00:00:00;;
688380;Arnultovice u Lučního Chvojna;555223;01.07.2011 00:00:00;;
707147;Arnultovice u Nového Boru;561860;01.07.2011 00:00:00;;
704962;Artolec;546798;01.07.2011 00:00:00;;
600521;Aš;554499;01.07.2011 00:00:00;;
600601;Babice;538043;01.07.2011 00:00:00;;
600695;Babice nad Svitavou;582794;01.07.2011 00:00:00;;
641375;Babice u Holubče;553689;01.07.2011 00:00:00;;
600687;Babice u Kelče;542989;01.07.2011 00:00:00;;
600636;Babice u Lesonic;590274;01.07.2011 00:00:00;;
655244;Babice u Netolic;537241;01.07.2011 00:00:00;;
709620;Babice u Okrouhlice;569186;01.07.2011 00:00:00;;
726630;Babice u Poutnova;555631;01.07.2011 00:00:00;;
600709;Babice u Rosic;582808;01.07.2011 00:00:00;;
600652;Babice u Uherského Hradiště;592013;01.07.2011 00:00:00;;
600661;Babice u Šternberka;552356;01.07.2011 00:00:00;;
744930;Babice u Řehenic;538710;01.07.2011 00:00:00;;
721506;Babina;559351;01.07.2011 00:00:00;;
641715;Babiny I;568104;01.07.2011 00:00:00;;
641693;Babiny II;567973;01.07.2011 00:00:00;;
651575;Babolky;581917;01.07.2011 00:00:00;;
600717;Babylon;553433;01.07.2011 00:00:00;;
777358;Babákov;572462;01.07.2011 00:00:00;;
630551;Babčice;553328;01.07.2011 00:00:00;;
765384;Babětín;555193;01.07.2011 00:00:00;;
600598;Babí;579025;01.07.2011 00:00:00;;
701297;Babí u Náchoda;573868;01.07.2011 00:00:00;;
765821;Babín;548936;01.07.2011 00:00:00;;
641871;Babín u Horažďovic;556254;01.07.2011 00:00:00;;
748625;Bahna;581917;01.07.2011 00:00:00;;
620254;Bahno;534013;01.07.2011 00:00:00;;
603198;Bakov;532088;01.07.2011 00:00:00;;
600831;Bakov nad Jizerou;535427;01.07.2011 00:00:00;;
600849;Baliny;595217;01.07.2011 00:00:00;;
737925;Balkova Lhota;563251;01.07.2011 00:00:00;;
628336;Balkovy;556106;01.07.2011 00:00:00;;
767069;Balková;559482;01.07.2011 00:00:00;;
600881;Bantice;593729;01.07.2011 00:00:00;;
600857;Banín;572560;01.07.2011 00:00:00;;
600890;Barchov;569836;01.07.2011 00:00:00;;
600903;Barchov u Pardubic;574724;01.07.2011 00:00:00;;
600911;Barchovice;533173;01.07.2011 00:00:00;;
600946;Barchůvek;570397;01.07.2011 00:00:00;;
